,CATEGORIA,CODIGO,TEXTO
166,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Anuncian-lluvias-y-tormentas-para-este-fin-de-semana-en-todo-el-pais-uc696603 1 / 12
167,eventos meteorológicos,tormenta,Tormenta en Montevideo . Foto de ar chivo: EFE
168,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Canelones-y-Cerro-Largo-fueron-los-departamentos-mas-afectados-por-las-tormentas-uc689465 1 / 1 1
169,eventos meteorológicos,tormenta,"La cantidad de desplazados en todo el país por las tormentas ascendió a 175 en todo el país, de acuer do al último r eporte del Sistema Nacional de Emer gencias (Sinae)."
170,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Continua-advertencia-meteorologica-para-buena-parte-del-pais-por-tormentas-y-lluvias-uc704461 1 / 12
171,eventos meteorológicos,tormenta,"Des pu és   del   h u r a c á n   qu e  a z o t ó   M o n t e vi deo   en   s et i embr e  de  2 0 0 5 ,   l o s   met eo r ó l o go s   n o   s e  r ec u per a r o n .   C a r ga n   c o n   en o r mes s en t i mi en t o s   de  c u l pa   po r qu e  n o   pu di er o n   pr o n o s t i c a r l o .   N u n c a   s e  h a bí a   vi s t o   a l go   i gu a l ,   y   a   pa r t i r   de  a h í   empi e z a   t o do   es t o   de  l a s naranjas, qu e de va r i o s  M i l es, só l o  u n a  s a l e tormenta"
172,eventos meteorológicos,tormenta,El riesgo de tormentas fuertes se disipa y ahor a hay advertencia amarilla par a siete departamentos.
173,eventos meteorológicos,tormenta,"En definitiva, están bajo alerta nar anja por tormentas y lluvias las siguientes localidades:"
174,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/El-Ano-Nuevo-llega-con-lluvias-tormentas-y-altas-temperaturas-uc706182 1 / 12
175,eventos meteorológicos,tormenta,"El Instituto Nacional de Meteor ología emitió una advertencia nar anja por vientos fuertes y tormentas, gr anizo y actividad eléctrica. T ambién rige una advertencia amarilla."
176,eventos meteorológicos,tormenta,El SINAE r ealizó una serie de r ecomendaciones ante la advertencia por tormentas y lluvias que afecta a todo el país y canalizar los r eclamos en caso de emer gencia por el 911.
177,eventos meteorológicos,tormenta,"Dos alertas de nivel nar anja por lluvias y tormentas rigen al mismo tiempo en el centr o y el sur oeste del país, según el último r eporte del Instituto Uruguayo de Meteor ología (Inumet). Monte video y varias otr as zonas del país se mantienen en nivel amarillo."
178,eventos meteorológicos,tormenta,"A partir del miér coles habr á pr ecipitaciones y tormentas aisladas en todo el país, que permanecer án hasta el sábado."
179,eventos meteorológicos,tormenta,Se esper a cielo nuboso y cubierto con pr ecipitaciones y tormentas aisladas en todo el país. Las temper atur as mínimas ser á de entr e 18 y 20º y las máximas de entr e 27 y 33º.
180,eventos meteorológicos,tormenta,"En el sur oeste habr á pr ecipitaciones y tormentas desde la mañana del viernes hasta el domingo, con temper atur as de entr e 12 y 22º."
181,eventos meteorológicos,tormenta,Negr o con mínimas de entr e 11 y 13 y máximas de entr e 20 y 22º. El sábado se esper an lluvias y tormentas en la mañana y mejor ar á en la tar de. El domingo estar á nuboso y cubierto con neblinas y temper atur as entr e los  10 y 22º.
182,eventos meteorológicos,tormenta,Los tanques fuer on diseñados par a r ecibir el e x ceso de caudal de lluvia que no pueda ser conducido en el pico de una tormenta por el sistema de dr enaje de las difer entes ár eas.
183,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Inumet-advirtio-sobre-tormentas-fuertes-durante-el-fin-de-semana-uc696813 1 / 1 1 ¿ P R I M A V E R A ?   C E R O
184,eventos meteorológicos,tormenta,El Instituto Nacional de Meteor ología emitió una advertencia amarilla par a el norte del país por tormentas.
185,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Inumet-emitio-advertencias-naranja-y-amarilla-por-tormentas-fuertes-uc697801 1 / 12
186,eventos meteorológicos,tormenta,Día de tormenta en Montevideo . Foto: Manuel Lino/ Montevideo Portal
187,eventos meteorológicos,tormenta,"Los departamentos de Artigas, Paysandú, Río Negr o y Salto son los afectados por la advertencia del servicio meteor ológico por posibles tormentas y pr ecipitaciones."
188,eventos meteorológicos,tormenta,Inumet emitió una advertencia de color nar anja por pr ecipitaciones y tormentas par a la totalidad de los departamento de
189,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Inumet-emitio-una-alerta-roja-por-tormenta-para-el-suroeste-del-pais-uc696152 1 / 13
190,eventos meteorológicos,tormenta,"José y Soriano. Allí se esper an ""tormentas se ver as""."
